#,variety,lysimeter,day of year,hour,minute,ET,hour of year,minute of year
421,A1,lys9,200,11,0,20,200.4583333,200.4583333
422,A1,lys9,200,11,5,25,200.4583333,200.4618056
423,A1,lys9,200,11,10,25,200.4583333,200.4652778
424,A1,lys9,200,11,15,35,200.4583333,200.46875
425,A1,lys9,200,11,20,30,200.4583333,200.4722222
426,A1,lys9,200,11,25,15,200.4583333,200.4756944
427,A1,lys9,200,11,30,35,200.4583333,200.4791667
428,A1,lys9,200,11,35,45,200.4583333,200.4826389
429,A1,lys9,200,11,40,40,200.4583333,200.4861111
430,A1,lys9,200,11,45,30,200.4583333,200.4895833
431,A1,lys9,200,11,50,25,200.4583333,200.4930556
432,A1,lys9,200,11,55,30,200.4583333,200.4965278
433,A1,lys9,200,12,0,35,200.5,200.5
434,A1,lys9,200,12,5,40,200.5,200.5034722
435,A1,lys9,200,12,10,40,200.5,200.5069444
436,A1,lys9,200,12,15,40,200.5,200.5104167
437,A1,lys9,200,12,20,35,200.5,200.5138889
438,A1,lys9,200,12,25,45,200.5,200.5173611
439,A1,lys9,200,12,30,35,200.5,200.5208333
440,A1,lys9,200,12,35,45,200.5,200.5243056
441,A1,lys9,200,12,40,30,200.5,200.5277778
442,A1,lys9,200,12,45,30,200.5,200.53125
443,A1,lys9,200,12,50,40,200.5,200.5347222
444,A1,lys9,200,12,55,45,200.5,200.5381944
445,A1,lys9,200,13,0,35,200.5416667,200.5416667
446,A1,lys9,200,13,5,40,200.5416667,200.5451389
447,A1,lys9,200,13,10,35,200.5416667,200.5486111
448,A1,lys9,200,13,15,35,200.5416667,200.5520833
449,A1,lys9,200,13,20,30,200.5416667,200.5555556
450,A1,lys9,200,13,25,40,200.5416667,200.5590278
451,A1,lys9,200,13,30,35,200.5416667,200.5625
452,A1,lys9,200,13,35,40,200.5416667,200.5659722
453,A1,lys9,200,13,40,45,200.5416667,200.5694444
454,A1,lys9,200,13,45,NA,200.5416667,200.5729167
455,A1,lys9,200,13,50,NA,200.5416667,200.5763889
456,A1,lys9,200,13,55,NA,200.5416667,200.5798611
457,A1,lys9,200,14,0,NA,200.5833333,200.5833333
458,A1,lys9,200,14,5,NA,200.5833333,200.5868056
459,A1,lys9,200,14,10,35,200.5833333,200.5902778
460,A1,lys9,200,14,15,45,200.5833333,200.59375
461,A1,lys9,200,14,20,35,200.5833333,200.5972222
462,A1,lys9,200,14,25,40,200.5833333,200.6006944
463,A1,lys9,200,14,30,30,200.5833333,200.6041667
464,A1,lys9,200,14,35,40,200.5833333,200.6076389
465,A1,lys9,200,14,40,30,200.5833333,200.6111111
466,A1,lys9,200,14,45,35,200.5833333,200.6145833
467,A1,lys9,200,14,50,30,200.5833333,200.6180556
468,A1,lys9,200,14,55,25,200.5833333,200.6215278
469,A1,lys9,200,15,0,25,200.625,200.625
470,A1,lys9,200,15,5,20,200.625,200.6284722
471,A1,lys9,200,15,10,25,200.625,200.6319444
472,A1,lys9,200,15,15,30,200.625,200.6354167
473,A1,lys9,200,15,20,30,200.625,200.6388889
474,A1,lys9,200,15,25,35,200.625,200.6423611
475,A1,lys9,200,15,30,30,200.625,200.6458333
476,A1,lys9,200,15,35,30,200.625,200.6493056
477,A1,lys9,200,15,40,25,200.625,200.6527778
478,A1,lys9,200,15,45,25,200.625,200.65625
479,A1,lys9,200,15,50,20,200.625,200.6597222
480,A1,lys9,200,15,55,25,200.625,200.6631944
481,A1,lys9,200,16,0,25,200.6666667,200.6666667
482,A1,lys9,200,16,5,30,200.6666667,200.6701389
483,A1,lys9,200,16,10,20,200.6666667,200.6736111
484,A1,lys9,200,16,15,40,200.6666667,200.6770833
485,A1,lys9,200,16,20,20,200.6666667,200.6805556
486,A1,lys9,200,16,25,10,200.6666667,200.6840278
487,A1,lys9,200,16,30,5,200.6666667,200.6875
488,A1,lys9,200,16,35,0,200.6666667,200.6909722
489,A1,lys9,200,16,40,NA,200.6666667,200.6944444
